method,utility,adr_kbps,used_spectral_efficiency,system_spectral_efficiency,served_ratio,unserved_ratio,average_quality,rb_utilization,avg_switching,fairness,avg_groups,scenario_mode,load_level,rb_budget_ratio,kmax,seed
LE-GRA MVP,0.7760933772237892,5899.583333333334,28.847023350264813,15.732222222222223,1.0,0.0,4.108333333333333,0.72,0.22291666666666665,0.9159934208477305,2.25,ambiguous,light,0.5,3,9
No grouping,0.7972755432289418,6150.0,55.90351541622216,16.4,1.0,0.0,4.35,0.42699999999999994,0.22166666666666662,1.0,1.0,ambiguous,light,0.5,3,17
CQI k-means,0.8238514751041605,6209.375,35.12608138456348,16.558333333333337,1.0,0.0,4.324999999999999,0.6119999999999999,0.18666666666666668,0.9363768014944783,2.45,ambiguous,light,0.5,3,17
Resource-cost k-means,0.8310625215189045,6529.791666666667,48.70116694184011,17.41277777777778,1.0,0.0,4.4833333333333325,0.55,0.20750000000000002,0.9507468598455043,1.95,ambiguous,light,0.5,3,17
Multi-feature k-means,0.8306253045438152,6384.895833333333,37.69636126876484,17.026388888888892,1.0,0.0,4.4020833333333345,0.595,0.19125,0.9272605889153311,2.35,ambiguous,light,0.5,3,17
Offline teacher,0.8438154485151941,6352.708333333334,27.618175184281018,16.940555555555555,1.0,0.0,4.364583333333332,0.688,0.17458333333333337,0.9419523762813709,2.9,ambiguous,light,0.5,3,17
LE-GRA MVP,0.8329413961301076,6536.249999999999,39.24196537307981,17.43,1.0,0.0,4.470833333333333,0.566,0.20333333333333337,0.939087290621915,2.05,ambiguous,light,0.5,3,17
No grouping,0.7812548205760318,6075.0,59.637450812653654,16.2,1.0,0.0,4.3,0.35300000000000004,0.2345833333333333,1.0,1.0,ambiguous,light,0.5,3,23
CQI k-means,0.8363920747047289,6576.145833333333,44.18895256842304,17.53638888888889,1.0,0.0,4.514583333333334,0.5920000000000001,0.20916666666666664,0.9550186139878063,2.25,ambiguous,light,0.5,3,23
Resource-cost k-means,0.840298355064507,6752.8125,52.40471173854579,18.0075,1.0,0.0,4.597916666666667,0.543,0.2266666666666667,0.9717771443215243,1.8,ambiguous,light,0.5,3,23
Multi-feature k-means,0.8375204342849061,6547.708333333334,39.30147903019554,17.460555555555555,1.0,0.0,4.5,0.5940000000000001,0.20624999999999996,0.9524584222585627,2.3,ambiguous,light,0.5,3,23
Offline teacher,0.8471083982621448,6500.520833333334,28.426242793672067,17.334722222222222,1.0,0.0,4.45625,0.674,0.19416666666666665,0.9542006455907117,2.85,ambiguous,light,0.5,3,23
LE-GRA MVP,0.8287935726882327,6442.708333333334,37.655490826702376,17.180555555555554,1.0,0.0,4.427083333333333,0.614,0.20916666666666667,0.9533471533251052,2.45,ambiguous,light,0.5,3,23
No grouping,0.554212768819211,4495.0,39.375494467406234,23.973333333333336,1.0,0.0,3.3,0.6020000000000001,0.2895833333333333,1.0,1.0,ambiguous,medium,0.25,3,9
CQI k-means,0.7076443227349157,5373.020833333334,36.79460910176543,28.65611111111111,1.0,0.0,3.789583333333333,0.8620000000000001,0.2058333333333333,0.821229563990596,2.0,ambiguous,medium,0.25,3,9
Resource-cost k-means,0.7166274771544671,5354.791666666666,43.10999620258732,28.55888888888889,1.0,0.0,3.8791666666666664,0.7780000000000001,0.22541666666666665,0.9103215257580708,1.65,ambiguous,medium,0.25,3,9
Multi-feature k-means,0.7026451168568406,5318.854166666667,37.0407185067703,28.36722222222222,0.9979166666666668,0.0020833333333333316,3.7850543478260876,0.8400000000000002,0.21458333333333335,0.8438883367578667,1.95,ambiguous,medium,0.25,3,9
Offline teacher,0.7322796242075484,5344.375,30.087266074304114,28.50333333333333,1.0,0.0,3.8250000000000006,0.9640000000000001,0.2004166666666667,0.8691491410041037,2.3,ambiguous,medium,0.25,3,9
LE-GRA MVP,0.7055389675950239,5405.625,39.68153303833611,28.830000000000002,1.0,0.0,3.8375,0.8320000000000001,0.22125000000000003,0.8505195985566221,1.85,ambiguous,medium,0.25,3,9
No grouping,0.7295439324707109,5857.5,56.23652001593179,31.24,1.0,0.0,4.1,0.59,0.23583333333333334,1.0,1.0,ambiguous,medium,0.25,3,17
CQI k-means,0.7943341235119877,6100.416666666667,48.637149607757024,32.535555555555554,1.0,0.0,4.218749999999999,0.7819999999999999,0.18625,0.9039573722368465,1.75,ambiguous,medium,0.25,3,17
Resource-cost k-means,0.7898551976625127,6215.416666666667,55.74611887431742,33.14888888888889,1.0,0.0,4.329166666666667,0.696,0.21416666666666662,0.950535262157586,1.45,ambiguous,medium,0.25,3,17
Multi-feature k-means,0.7998010236118424,6213.541666666666,51.858315095398424,33.138888888888886,1.0,0.0,4.29375,0.752,0.19125000000000003,0.9181681499143393,1.65,ambiguous,medium,0.25,3,17
Offline teacher,0.8084963415834139,6000.104166666667,34.16523327624973,32.00055555555556,1.0,0.0,4.199999999999999,0.9560000000000001,0.17333333333333334,0.9264286902631902,2.4,ambiguous,medium,0.25,3,17
LE-GRA MVP,0.794769754904678,6119.166666666666,48.67794058873578,32.635555555555555,1.0,0.0,4.239583333333333,0.772,0.18875000000000003,0.912858532438211,1.75,ambiguous,medium,0.25,3,17
No grouping,0.7243355991373773,5857.5,59.90760084142437,31.24,1.0,0.0,4.1,0.5459999999999999,0.24625,1.0,1.0,ambiguous,medium,0.25,3,23
CQI k-means,0.8093663580915518,6415.625000000001,54.07304771032376,34.21666666666666,1.0,0.0,4.395833333333332,0.74,0.19791666666666666,0.9160588687493455,1.7,ambiguous,medium,0.25,3,23
Resource-cost k-means,0.8084619603149636,6459.687499999999,62.39952368240519,34.45166666666666,1.0,0.0,4.437500000000001,0.64,0.22041666666666665,0.9557956722693127,1.35,ambiguous,medium,0.25,3,23
Multi-feature k-means,0.8075748272329026,6348.020833333334,50.5201132214206,33.856111111111105,1.0,0.0,4.374999999999999,0.7519999999999999,0.20624999999999996,0.9442270729636032,1.7,ambiguous,medium,0.25,3,23
Offline teacher,0.820808586911286,6212.187499999999,34.290277429685325,33.13166666666666,1.0,0.0,4.285416666666667,0.976,0.18166666666666664,0.9358960283521413,2.55,ambiguous,medium,0.25,3,23
LE-GRA MVP,0.8090773625171421,6240.312500000002,49.526306774073376,33.28166666666666,1.0,0.0,4.308333333333332,0.786,0.19041666666666665,0.9219631028781523,1.9,ambiguous,medium,0.25,3,23
No grouping,0.34791070304616456,2430.0,40.12433862433862,32.4,1.0,0.0,2.1,0.7099999999999999,0.30625,1.0,1.0,ambiguous,heavy,0.1,3,9
CQI k-means,0.49174157226136456,2772.291666666667,43.733289241622565,36.96388888888889,1.0,0.0,2.50625,0.8699999999999999,0.2316666666666667,0.8538597584481418,1.55,ambiguous,heavy,0.1,3,9
Resource-cost k-means,0.45973635428030873,2653.958333333333,42.697255291005284,35.38611111111111,0.99375,0.00625,2.4533432147562584,0.8299999999999998,0.24416666666666664,0.9270438804932726,1.55,ambiguous,heavy,0.1,3,9
Multi-feature k-means,0.4894201832288836,2782.916666666667,43.85582010582011,37.105555555555554,1.0,0.0,2.5020833333333337,0.8699999999999999,0.2325,0.8563177558114985,1.5,ambiguous,heavy,0.1,3,9
Offline teacher,0.5120270540440343,2870.4166666666665,44.927733686067015,38.272222222222226,0.9979166666666668,0.0020833333333333316,2.591304347826087,0.8799999999999999,0.21958333333333338,0.8655584835515484,1.6,ambiguous,heavy,0.1,3,9
LE-GRA MVP,0.4734542314326248,2643.6458333333335,42.19926146384479,35.24861111111111,1.0,0.0,2.4354166666666663,0.85,0.24166666666666664,0.9199345369464451,1.5,ambiguous,heavy,0.1,3,9
No grouping,0.532591744707442,3400.0,56.32037037037037,45.33333333333333,1.0,0.0,2.75,0.725,0.2458333333333333,1.0,1.0,ambiguous,heavy,0.1,3,17
CQI k-means,0.6042441265986864,3573.75,57.551344797178125,47.65,1.0,0.0,2.9562500000000003,0.8400000000000001,0.20958333333333337,0.9205547599232267,1.3,ambiguous,heavy,0.1,3,17
