scenario_index,feature_mode,users,rbs,rb_budget_ratio,cqi_min,cqi_max,cqi_span,mean_cost_std,max_same_cqi_cost_std,teacher_groups,cqi_groups,resource_groups,multifeature_groups,teacher_gain_vs_no_grouping,teacher_gain_vs_cqi,resource_gain_vs_cqi,multifeature_gain_vs_cqi,resource_gap_vs_teacher,multifeature_gap_vs_teacher,cqi_pairwise_vs_teacher,resource_pairwise_vs_teacher,multifeature_pairwise_vs_teacher,teacher_utility,cqi_utility,resource_utility,multifeature_utility,no_grouping_utility,split,seed,accepted,acceptance_score,selected
32,history_cost_quality,12,72,0.4166666666666667,8,14,6,0.012242771336900023,0.0034236572818863503,2,2,1,2,0.0027187411001825534,0.002423175970856173,-0.00029556512932638057,0.0,0.0027187411001825534,0.002423175970856173,0.8333333333333334,0.5151515151515151,0.8333333333333334,0.8943854077668493,0.8919622317959931,0.8916666666666667,0.8919622317959931,0.8916666666666667,train,13,0,0.12678343029128347,0
33,history_cost_quality,12,72,0.4166666666666667,8,12,4,0.015280651541044429,0.004736893965203963,2,1,1,1,0.009988269012750961,0.009988269012750961,0.0,0.0,0.009988269012750961,0.009988269012750961,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9016549356794177,0.8916666666666667,0.8916666666666667,0.8916666666666667,0.8916666666666667,train,13,0,0.10413151816651105,0
34,history_cost_quality,12,72,0.4166666666666667,6,12,6,0.02309906705095354,0.0028870813169552057,1,1,1,1,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,1.0,1.0,1.0,0.85,0.8500000000000001,0.8500000000000001,0.8500000000000001,0.8500000000000001,train,13,0,0.12101047846093407,0
35,history_cost_quality,12,72,0.4166666666666667,8,13,5,0.01614388576613247,0.008101851851851853,2,2,2,2,0.011820314724954484,0.004846351941712346,0.0,0.0,0.004846351941712346,0.004846351941712346,0.696969696969697,0.696969696969697,0.696969696969697,0.882565093041895,0.8777187411001827,0.8777187411001827,0.8777187411001827,0.8707447783169405,train,13,0,0.1168782232694599,0
36,history_cost_quality,12,72,0.4166666666666667,9,12,3,0.010066044078433452,0.005787037037037035,2,2,2,2,0.014539055825136926,0.004846351941712346,-0.004846351941712346,0.0,0.009692703883424691,0.004846351941712346,0.696969696969697,0.5151515151515151,0.696969696969697,0.8978723891584703,0.893026037216758,0.8881796852750456,0.893026037216758,0.8833333333333334,train,13,0,0.0772914715793568,0
37,history_cost_quality,12,72,0.4166666666666667,9,13,4,0.012151246719154034,0.0032736425054932707,2,1,1,2,0.00969270388342458,0.00969270388342458,0.0,0.00029556512932626955,0.00969270388342458,0.009397138754098311,0.5151515151515151,0.5151515151515151,0.5909090909090909,0.893026037216758,0.8833333333333334,0.8833333333333334,0.8836288984626597,0.8833333333333334,train,13,0,0.10319081071808897,0
38,history_cost_quality,12,72,0.4166666666666667,9,13,4,0.01219404369543141,0.004009376869372401,2,1,1,2,0.0021276108415295703,0.0021276108415295703,0.0,2.220446049250313e-16,0.0021276108415295703,0.002127610841529348,0.45454545454545453,0.45454545454545453,0.8333333333333334,0.8645390558251368,0.8624114449836072,0.8624114449836072,0.8624114449836074,0.8624114449836072,train,13,0,0.08619040629772205,0
39,history_cost_quality,12,72,0.4166666666666667,8,12,4,0.013279397206401018,0.004629629629629629,2,1,1,1,0.009988269012750961,0.009988269012750961,0.0,0.0,0.009988269012750961,0.009988269012750961,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8516549356794177,0.8416666666666668,0.8416666666666668,0.8416666666666668,0.8416666666666668,train,13,0,0.10409397564906003,0
40,history_cost_quality,12,72,0.4166666666666667,7,14,7,0.018713408319939697,0.008101851851851846,2,1,1,1,0.009988269012751072,0.009988269012751072,0.0,0.0,0.009988269012751072,0.009988269012751072,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8599882690127512,0.8500000000000001,0.8500000000000001,0.8500000000000001,0.8500000000000001,train,13,0,0.16530925342683808,0
41,history_cost_quality,12,72,0.4166666666666667,8,13,5,0.015910551828395913,0.005774162633910407,2,2,1,2,0.01938540776684916,0.007269527912568519,-0.012115879854280642,-0.002423175970856062,0.01938540776684916,0.00969270388342458,0.5909090909090909,0.5151515151515151,0.5151515151515151,0.9027187411001826,0.8954492131876141,0.8833333333333334,0.893026037216758,0.8833333333333334,train,13,1,0.1238295406595741,0
42,history_cost_quality,12,72,0.4166666666666667,5,13,8,0.04165416193245007,0.004629629629629633,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8874114449836071,0.8874114449836071,0.8874114449836071,0.8874114449836071,0.8874114449836071,train,13,0,0.1616203703703704,0
43,history_cost_quality,12,72,0.4166666666666667,8,13,5,0.01888758234759559,0.007134738429362239,2,1,1,1,0.024231759708561396,0.024231759708561396,0.0,0.0,0.024231759708561396,0.024231759708561396,0.696969696969697,0.696969696969697,0.696969696969697,0.8658984263752282,0.8416666666666668,0.8416666666666668,0.8416666666666668,0.8416666666666668,train,13,1,0.15701861779453993,1
44,history_cost_quality,12,72,0.4166666666666667,7,13,6,0.015994525416451584,0.005787037037037035,2,2,1,3,0.007565093041894788,0.0072695279125682966,-0.0002955651293264916,0.00044503344871382744,0.007565093041894788,0.006824494463854469,0.5909090909090909,0.696969696969697,0.8636363636363636,0.8658984263752282,0.8586288984626599,0.8583333333333334,0.8590739319113737,0.8583333333333334,train,13,0,0.1388709318334096,0
45,history_cost_quality,12,72,0.4166666666666667,8,12,4,0.014122689211206118,0.005555555555555554,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8790781116502738,0.8790781116502738,0.8790781116502738,0.8790781116502738,0.8790781116502738,train,13,0,0.08194444444444444,0
46,history_cost_quality,12,72,0.4166666666666667,8,13,5,0.016480359798493226,0.0066235666332520845,2,2,1,1,0.006973962783242027,0.0,-0.006973962783242027,-0.006973962783242027,0.006973962783242027,0.006973962783242027,1.0,0.5151515151515151,0.5151515151515151,0.8443854077668492,0.8443854077668492,0.8374114449836072,0.8374114449836072,0.8374114449836072,train,13,0,0.10545653157409715,0
47,history_cost_quality,12,72,0.4166666666666667,7,12,5,0.023520506937345052,0.0034722222222222238,2,1,1,1,0.009988269012751072,0.009988269012751072,0.0,0.0,0.009988269012751072,0.009988269012751072,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8516549356794177,0.8416666666666667,0.8416666666666667,0.8416666666666667,0.8416666666666667,train,13,0,0.12368888305646769,0
48,history_cost_quality,12,72,0.4166666666666667,7,13,6,0.023346628503714918,0.005774162633910405,2,1,1,1,0.014243490695810546,0.014243490695810546,0.0,0.0,0.014243490695810546,0.014243490695810546,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8266549356794178,0.8124114449836073,0.8124114449836073,0.8124114449836073,0.8124114449836073,train,13,1,0.15406881098744235,1
