load_level,seed,split,scenario_index,teacher_k,group_index,group_size
medium,23,train,19,3,0,19
medium,23,train,19,3,1,3
medium,23,train,19,3,2,2
medium,23,train,20,3,0,20
medium,23,train,20,3,1,1
medium,23,train,20,3,2,3
medium,23,train,21,3,0,18
medium,23,train,21,3,1,2
medium,23,train,21,3,2,4
medium,23,train,22,2,0,12
medium,23,train,22,2,1,12
medium,23,train,23,2,0,10
medium,23,train,23,2,1,14
medium,23,train,24,3,0,18
medium,23,train,24,3,1,4
medium,23,train,24,3,2,2
medium,23,train,25,3,0,2
medium,23,train,25,3,1,20
medium,23,train,25,3,2,2
medium,23,train,26,3,0,1
medium,23,train,26,3,1,19
medium,23,train,26,3,2,4
medium,23,train,27,3,0,16
medium,23,train,27,3,1,5
medium,23,train,27,3,2,3
medium,23,train,28,2,0,10
medium,23,train,28,2,1,14
medium,23,train,29,2,0,15
medium,23,train,29,2,1,9
medium,23,train,30,2,0,11
medium,23,train,30,2,1,13
medium,23,train,31,3,0,17
medium,23,train,31,3,1,6
medium,23,train,31,3,2,1
medium,23,train,32,3,0,20
medium,23,train,32,3,1,3
medium,23,train,32,3,2,1
medium,23,train,33,3,0,1
medium,23,train,33,3,1,7
medium,23,train,33,3,2,16
medium,23,train,34,2,0,9
medium,23,train,34,2,1,15
medium,23,train,35,3,0,20
medium,23,train,35,3,1,1
medium,23,train,35,3,2,3
medium,23,train,36,3,0,16
medium,23,train,36,3,1,6
medium,23,train,36,3,2,2
medium,23,train,37,3,0,3
medium,23,train,37,3,1,20
medium,23,train,37,3,2,1
medium,23,train,38,3,0,8
medium,23,train,38,3,1,12
medium,23,train,38,3,2,4
medium,23,train,39,3,0,3
medium,23,train,39,3,1,2
medium,23,train,39,3,2,19
medium,23,test,0,2,0,19
medium,23,test,0,2,1,5
medium,23,test,1,3,0,1
medium,23,test,1,3,1,2
medium,23,test,1,3,2,21
medium,23,test,2,2,0,11
medium,23,test,2,2,1,13
medium,23,test,3,3,0,7
medium,23,test,3,3,1,3
medium,23,test,3,3,2,14
medium,23,test,4,2,0,15
medium,23,test,4,2,1,9
medium,23,test,5,3,0,5
medium,23,test,5,3,1,15
medium,23,test,5,3,2,4
medium,23,test,6,2,0,12
medium,23,test,6,2,1,12
medium,23,test,7,3,0,5
medium,23,test,7,3,1,3
medium,23,test,7,3,2,16
medium,23,test,8,3,0,10
medium,23,test,8,3,1,12
medium,23,test,8,3,2,2
medium,23,test,9,2,0,17
medium,23,test,9,2,1,7
medium,23,test,10,3,0,11
medium,23,test,10,3,1,10
medium,23,test,10,3,2,3
medium,23,test,11,3,0,4
medium,23,test,11,3,1,3
