load_level,seed,split,scenario_index,dispersion,teacher_k,teacher_group_ids,teacher_utility,no_group_utility,teacher_gain_over_no_group,top1_top2_gap,near_optimal_within_0.001,near_optimal_within_0.005,candidate_count
light,17,train,28,high,2,0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0,0.708247691217267,0.439269725025821,0.26897796619144604,0.0072142383315743075,1,1,277
light,17,train,29,high,3,1|1|1|2|0|1|1|1|1|1|2|1|1|0|2|0|0|2|0|1|1|0|0|1,0.618058056769205,0.12911306645419182,0.48894499031501315,0.0034122472319272346,1,2,277
light,17,train,30,low,3,0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|2|0|0|0|0|1|0|0,0.9286347639562843,0.9249999999999999,0.0036347639562843703,0.0,23,277,277
light,17,train,31,low,3,0|0|0|0|0|0|2|0|0|1|1|1|0|2|1|2|2|2|2|2|2|2|2|2,0.8965130186083791,0.8916666666666666,0.004846351941712457,1.1102230246251565e-16,2,277,277
light,17,train,32,low,3,0|0|0|0|0|2|0|2|2|0|2|0|0|0|0|0|0|0|0|0|1|1|2|1,0.9078014306229508,0.9041666666666667,0.0036347639562841483,0.0012115879854279754,1,277,277
light,17,train,33,low,3,0|0|0|0|0|0|0|1|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2,0.9227246065938072,0.9166666666666666,0.006057939927140543,0.0012115879854279754,1,54,277
light,17,train,34,high,3,0|0|1|1|1|0|0|1|0|1|0|0|1|1|0|0|0|0|0|0|0|1|2|0,0.6493192836789171,0.44760305835915437,0.20171622531976274,0.016264460342628517,1,1,277
light,17,train,35,mid,3,0|1|0|0|0|2|1|2|0|0|2|0|0|0|2|0|0|0|0|1|0|1|1|2,0.8746158798542809,0.8625000000000002,0.012115879854280753,1.1102230246251565e-16,23,105,277
light,17,train,36,low,3,0|0|0|0|0|0|0|0|0|0|0|0|1|1|2|1|1|2|2|2|2|2|2|2,0.9131796852750457,0.9083333333333333,0.004846351941712346,0.0012115879854280864,1,277,277
light,17,train,37,high,2,0|0|0|1|1|0|0|0|0|0|1|1|1|0|1|1|0|1|1|0|0|0|0|0,0.6474832999994374,0.41426972502582093,0.2332135749736165,0.0006317887529123656,2,3,277
light,17,train,38,low,3,0|0|0|0|0|0|1|1|1|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2,0.9334811158979965,0.9249999999999999,0.008481115897996605,0.0012115879854279754,1,15,277
light,17,train,39,low,3,0|0|0|0|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0.8828014306229509,0.8791666666666668,0.0036347639562841483,1.1102230246251565e-16,2,277,277
light,17,test,0,high,2,0|0|1|0|0|0|0|1|1|0|0|0|0|0|0|0|0|1|1|1|0|0|1|0,0.6952451099959197,0.6138508447506849,0.08139426524523485,0.0072142383315745295,1,1,277
light,17,test,1,mid,3,2|2|0|0|0|2|1|1|0|2|0|2|2|0|0|0|2|1|1|2|2|0|0|2,0.8840130186083791,0.8791666666666668,0.004846351941712346,2.220446049250313e-16,2,277,277
light,17,test,2,mid,3,1|2|2|0|1|0|1|2|2|2|0|0|0|0|0|0|1|1|1|2|2|0|0|1,0.8918144492313299,0.8833333333333333,0.008481115897996605,0.0010638054207647851,1,32,277
light,17,test,3,high,3,0|1|2|1|1|0|2|1|1|1|2|1|1|1|0|1|0|1|1|1|1|1|0|1,0.7638774567284102,0.6430175114173516,0.12085994531105859,0.0012115879854280864,1,2,277
light,17,test,4,low,3,0|0|0|0|0|0|2|2|1|0|1|1|1|1|1|2|2|2|2|2|2|2|2|2,0.9156028612459018,0.9083333333333332,0.00726952791256863,0.0010638054207648961,1,35,277
light,17,test,5,mid,3,1|0|1|1|2|1|1|1|1|1|2|2|1|1|2|2|1|2|1|2|1|1|2|1,0.8525709585355195,0.8416666666666667,0.010904291868852778,0.0010638054207650072,1,89,277
light,17,test,6,low,3,0|0|0|0|0|0|0|0|0|0|0|1|1|1|2|2|2|2|2|2|2|2|2|2,0.9161347639562841,0.9125,0.0036347639562841483,0.0,2,277,277
light,17,test,7,low,3,0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|2,0.9084811158979965,0.9,0.008481115897996494,0.0012115879854279754,1,72,277
light,17,test,8,high,3,1|0|1|0|1|1|0|2|1|1|1|2|1|0|1|0|0|1|0|1|1|0|1|1,0.6483574372156773,0.42676972502582095,0.22158771218985635,0.00014946831938733585,2,4,277
light,17,test,9,low,2,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1,0.9031028612459018,0.8958333333333334,0.007269527912568408,0.0,23,110,277
light,17,test,10,mid,3,2|2|0|0|0|2|0|2|0|2|2|1|0|0|2|2|1|1|1|1|2|1|2|2,0.9197695279125684,0.9125,0.007269527912568408,0.0012115879854279754,1,18,277
light,17,test,11,low,3,2|0|0|0|0|0|0|0|0|0|0|1|0|1|1|1|1|2|1|1|1|2|1|2,0.9317376252021861,0.9208333333333334,0.010904291868852667,0.0012115879854280864,1,15,277
light,17,test,12,mid,3,0|0|0|2|2|2|1|0|1|2|1|1|2|1|1|2|1|2|2|1|2|1|2|1,0.904462231795993,0.8875000000000001,0.016962231795992988,0.0012115879854279754,1,33,277
light,17,test,13,high,3,1|1|0|0|1|0|0|0|0|0|0|0|0|0|1|0|2|2|0|0|0|0|0|2,0.634086394367692,0.4392697250258209,0.19481666934187108,0.0008328773497719988,4,4,277
light,17,test,14,mid,3,0|1|0|2|1|0|2|1|2|2|1|2|1|2|1|1|1|2|1|1|2|2|1|1,0.8728723891584703,0.8583333333333334,0.014539055825136926,0.0012115879854279754,1,51,277
light,17,test,15,mid,3,0|0|1|2|1|2|1|1|1|2|2|1|1|1|1|2|1|1|2|1|1|2|2|1,0.8871158798542808,0.875,0.012115879854280753,0.0012115879854279754,1,69,277
light,17,test,16,low,3,0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|2|1|2|2,0.87931444923133,0.8708333333333332,0.008481115897996716,0.0012115879854279754,1,43,277
light,17,test,17,high,3,1|1|1|1|0|0|1|0|1|0|1|0|1|0|1|0|0|0|1|2|2|0|0|1,0.6247244029032817,0.44343639169248766,0.18128801121079402,0.0077118505396082115,1,1,277
light,17,test,18,low,3,0|0|2|0|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0.9553782546520949,0.9541666666666666,0.0012115879854283085,2.220446049250313e-16,6,277,277
light,17,test,19,mid,3,0|0|0|2|0|0|1|0|0|0|1|0|1|0|0|0|1|0|2|0|0|0|0|2,0.8876477825646633,0.8791666666666668,0.008481115897996494,0.0,23,107,277
light,23,train,0,mid,2,1|1|1|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|1|0|1|0|0|0,0.8334811158979966,0.8249999999999998,0.008481115897996716,0.0,23,112,277
light,23,train,1,high,3,0|0|0|1|0|0|1|0|0|0|2|0|1|2|1|1|2|1|1|0|0|0|0|0,0.6595372475504161,0.3976030583591543,0.26193418919126177,0.0008235298724323936,2,2,277
light,23,train,2,high,3,1|1|0|2|0|1|1|1|1|1|1|1|1|0|1|2|1|0|1|1|1|1|1|1,0.7325680059422215,0.43510305835915436,0.29746494758306713,0.0012115879854280864,1,3,277
light,23,train,3,low,3,2|2|0|0|0|0|0|0|1|0|1|1|1|1|1|1|2|2|2|2|2|2|2|2,0.9251477825646631,0.9166666666666666,0.008481115897996494,0.0012115879854279754,1,64,277
light,23,train,4,mid,2,0|0|1|0|0|0|1|0|0|0|0|0|0|1|0|1|0|0|0|0|0|1|0|1,0.8906028612459019,0.8833333333333332,0.007269527912568741,0.0,23,112,277
light,23,train,5,mid,3,2|0|0|2|1|0|0|0|0|1|1|2|2|1|0|2|1|0|1|2|1|1|1|2,0.8681738197814212,0.8583333333333334,0.00984048644808777,0.00014778256466319029,2,94,277
light,23,train,6,mid,3,0|0|1|2|0|0|0|2|2|0|1|2|2|0|0|0|2|2|0|2|2|0|0|0,0.8549941345063755,0.8416666666666667,0.01332746783970884,0.0,23,105,277
light,23,train,7,low,3,0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2|2,0.8735520744335159,0.8541666666666666,0.019385407766849272,0.0012115879854280864,1,16,277
light,23,train,8,mid,2,1|1|1|1|1|0|1|0|1|0|0|1|1|1|1|0|0|1|1|0|1|1|1|0,0.848552074433516,0.8291666666666666,0.019385407766849383,0.0,23,105,277
light,23,train,9,high,3,0|1|1|0|0|1|0|2|0|1|1|1|1|2|1|1|0|1|0|0|0|0|0|0,0.6069386412348562,0.43510305835915436,0.17183558287570183,0.0004602006600636921,2,2,277
light,23,train,10,low,3,0|0|0|0|0|0|0|0|0|0|2|1|1|1|1|1|1|1|2|2|2|1|2|2,0.9221927038834247,0.9125,0.009692703883424691,0.0012115879854279754,1,15,277
light,23,train,11,high,3,0|0|2|0|0|2|0|0|0|0|0|0|0|1|1|0|2|0|0|0|0|0|0|2,0.6306366163787461,0.10827973312085848,0.5223568832578876,0.005302991059405127,1,1,277
