method,utility,adr_kbps,used_spectral_efficiency,system_spectral_efficiency,served_ratio,unserved_ratio,average_quality,rb_utilization,avg_switching,fairness,avg_groups,scenario_mode,load_level,rb_budget_ratio,kmax,seed
Offline teacher,0.5120270540440343,2870.4166666666665,44.927733686067015,38.272222222222226,0.9979166666666668,0.0020833333333333316,2.591304347826087,0.8799999999999999,0.21958333333333338,0.8655584835515484,1.6,ambiguous,heavy,0.1,3,9
LE-GRA MVP,0.4746820052369241,2701.0416666666665,43.18683862433862,36.01388888888889,1.0,0.0,2.45,0.8400000000000001,0.24208333333333334,0.8757476041206195,1.45,ambiguous,heavy,0.1,3,9
No grouping,0.532591744707442,3400.0,56.32037037037037,45.33333333333333,1.0,0.0,2.75,0.725,0.2458333333333333,1.0,1.0,ambiguous,heavy,0.1,3,17
CQI k-means,0.6046595687768532,3561.458333333333,56.19177689594356,47.486111111111114,1.0,0.0,2.95,0.8550000000000001,0.20916666666666667,0.9162392894750319,1.3,ambiguous,heavy,0.1,3,17
Resource-cost k-means,0.5969729428356942,3517.7083333333335,56.90535714285714,46.902777777777786,1.0,0.0,2.9291666666666663,0.835,0.2166666666666667,0.9551260394403915,1.35,ambiguous,heavy,0.1,3,17
Offline teacher,0.6201212330897741,3765.7291666666665,58.68961640211639,50.209722222222226,0.9979166666666668,0.0020833333333333316,3.0395833333333333,0.8699999999999999,0.19749999999999998,0.8985233594141839,1.3,ambiguous,heavy,0.1,3,17
LE-GRA MVP,0.5966558155269683,3557.604166666667,57.607363315696645,47.43472222222223,1.0,0.0,2.925,0.825,0.21083333333333334,0.9054750942778366,1.3,ambiguous,heavy,0.1,3,17
No grouping,0.5831482701994799,3745.0,59.836772486772475,49.93333333333334,1.0,0.0,3.0,0.775,0.23291666666666666,1.0,1.0,ambiguous,heavy,0.1,3,23
CQI k-means,0.6299848283575661,3939.7916666666656,62.13359788359787,52.530555555555544,1.0,0.0,3.1375,0.8299999999999998,0.20375000000000001,0.9031998627493941,1.3,ambiguous,heavy,0.1,3,23
Resource-cost k-means,0.6388187726780028,3881.979166666667,61.006977513227525,51.759722222222216,1.0,0.0,3.1520833333333336,0.8450000000000001,0.20583333333333337,0.9637055555050242,1.35,ambiguous,heavy,0.1,3,23
Offline teacher,0.6569707637819431,4000.520833333333,62.28838183421517,53.34027777777777,1.0,0.0,3.2229166666666673,0.8600000000000001,0.19583333333333336,0.9586607763126833,1.35,ambiguous,heavy,0.1,3,23
LE-GRA MVP,0.6384337644217799,3977.5,62.392857142857146,53.03333333333334,1.0,0.0,3.1666666666666665,0.845,0.19875000000000004,0.9285931283474179,1.4,ambiguous,heavy,0.1,3,23
