dispersion,seed,scenario_index,method,utility,adr_kbps
low,2,12,"CQI+resource-cost hybrid (paper method, union)",0.9563073877344993,6468.666666666667
low,2,12,CQI+cost+joint 3-way union,0.9563073877344993,6468.666666666667
low,2,13,No grouping,0.9233333333333336,7500.0
low,2,13,CQI k-means,0.9326383290614211,6956.0
low,2,13,CQI k-means (k-means++),0.9326383290614211,6956.0
low,2,13,Resource-cost k-means,0.9241087496440075,7454.666666666667
low,2,13,Resource-cost k-means (k-means++),0.9241087496440075,7454.666666666667
low,2,13,Multi-feature k-means,0.9369031187701279,6706.666666666667
low,2,13,Multi-feature k-means (k-means++),0.9369031187701279,6706.666666666667
low,2,13,CQI+resource-cost joint k-means (single clustering),0.9244964577993446,7432.0
low,2,13,"CQI+resource-cost hybrid (paper method, union)",0.9326383290614211,6956.0
low,2,13,CQI+cost+joint 3-way union,0.9326383290614211,6956.0
low,2,14,No grouping,0.9313333333333337,7500.0
low,2,14,CQI k-means,0.9404444749837529,6967.333333333333
low,2,14,CQI k-means (k-means++),0.9404444749837529,6967.333333333333
low,2,14,Resource-cost k-means,0.9323026037216757,7443.333333333333
low,2,14,Resource-cost k-means (k-means++),0.9326903118770129,7420.666666666667
low,2,14,Multi-feature k-means,0.9452908269254648,6684.0
low,2,14,Multi-feature k-means (k-means++),0.9452908269254648,6684.0
low,2,14,CQI+resource-cost joint k-means (single clustering),0.9326903118770129,7420.666666666667
low,2,14,"CQI+resource-cost hybrid (paper method, union)",0.9404444749837529,6967.333333333333
low,2,14,CQI+cost+joint 3-way union,0.9404444749837529,6967.333333333333
low,2,15,No grouping,0.9353333333333336,7500.0
low,2,15,CQI k-means,0.9430874964400732,7046.666666666667
low,2,15,CQI k-means (k-means++),0.9430874964400732,7046.666666666667
low,2,15,Resource-cost k-means,0.9368841659546814,7409.333333333333
low,2,15,Resource-cost k-means (k-means++),0.9368841659546814,7409.333333333333
low,2,15,Multi-feature k-means,0.9485154106147907,6729.333333333333
low,2,15,Multi-feature k-means (k-means++),0.9485154106147907,6729.333333333333
low,2,15,CQI+resource-cost joint k-means (single clustering),0.9391028357436433,6251.333333333333
low,2,15,"CQI+resource-cost hybrid (paper method, union)",0.9430874964400732,7046.666666666667
low,2,15,CQI+cost+joint 3-way union,0.9430874964400732,7046.666666666667
low,2,16,No grouping,0.9320000000000003,7500.0
low,2,16,CQI k-means,0.9411111416504195,6967.333333333333
low,2,16,CQI k-means (k-means++),0.9411111416504195,6967.333333333333
low,2,16,Resource-cost k-means,0.9320000000000003,7500.0
low,2,16,Resource-cost k-means (k-means++),0.9337446866990164,7398.0
low,2,16,Multi-feature k-means,0.9411111416504195,6967.333333333333
low,2,16,Multi-feature k-means (k-means++),0.9411111416504195,6967.333333333333
low,2,16,CQI+resource-cost joint k-means (single clustering),0.9359989591638755,6187.333333333333
low,2,16,"CQI+resource-cost hybrid (paper method, union)",0.9411111416504195,6967.333333333333
low,2,16,CQI+cost+joint 3-way union,0.9411111416504195,6967.333333333333
low,2,17,No grouping,0.9273333333333335,7500.0
low,2,17,CQI k-means,0.9356690586730787,7012.666666666667
low,2,17,CQI k-means (k-means++),0.9356690586730787,7012.666666666667
low,2,17,Resource-cost k-means,0.9273333333333335,7500.0
low,2,17,Resource-cost k-means (k-means++),0.9279148955663391,7466.0
low,2,17,Multi-feature k-means,0.9376075994497636,6899.333333333333
low,2,17,Multi-feature k-means (k-means++),0.937801453527432,6888.0
low,2,17,CQI+resource-cost joint k-means (single clustering),0.9428255491278738,6208.666666666667
low,2,17,"CQI+resource-cost hybrid (paper method, union)",0.9356690586730787,7012.666666666667
low,2,17,CQI+cost+joint 3-way union,0.9428255491278738,6208.666666666667
low,2,18,No grouping,0.9340000000000002,7500.0
low,2,18,CQI k-means,0.9413664549514029,7069.333333333333
low,2,18,CQI k-means (k-means++),0.9413664549514029,7069.333333333333
low,2,18,Resource-cost k-means,0.9340000000000002,7500.0
low,2,18,Resource-cost k-means (k-means++),0.935550832621348,7409.333333333333
low,2,18,Multi-feature k-means,0.9429172875727507,6978.666666666667
low,2,18,Multi-feature k-means (k-means++),0.9429172875727507,6978.666666666667
low,2,18,CQI+resource-cost joint k-means (single clustering),0.9362779176752052,6210.0
low,2,18,"CQI+resource-cost hybrid (paper method, union)",0.9413664549514029,7069.333333333333
low,2,18,CQI+cost+joint 3-way union,0.9413664549514029,7069.333333333333
low,2,19,No grouping,0.9293333333333336,7500.0
low,2,19,CQI k-means,0.9363120801293993,7092.0
low,2,19,CQI k-means (k-means++),0.9363120801293993,7092.0
low,2,19,Resource-cost k-means,0.9293333333333336,7500.0
low,2,19,Resource-cost k-means (k-means++),0.9310780200323499,7398.0
low,2,19,Multi-feature k-means,0.9398014535274322,6888.0
low,2,19,Multi-feature k-means (k-means++),0.9398014535274322,6888.0
low,2,19,CQI+resource-cost joint k-means (single clustering),0.932968229552218,6130.666666666667
low,2,19,"CQI+resource-cost hybrid (paper method, union)",0.9363120801293993,7092.0
low,2,19,CQI+cost+joint 3-way union,0.9363120801293993,7092.0
low,3,0,No grouping,0.9333333333333336,7500.0
