mode,dispersion,seed,scenario_index,method,utility
aligned,mid_v2,5,3,CQI k-means,0.7176919226013369
aligned,mid_v2,5,3,Multi-feature k-means,0.7249874746111942
aligned,mid_v2,5,3,CQI+cost hybrid (2-way),0.7980816071306658
aligned,mid_v2,5,3,CQI+cost+RBprofile hybrid (3-way),0.7980816071306658
aligned,mid_v2,5,4,CQI k-means,0.7034329204696923
aligned,mid_v2,5,4,Multi-feature k-means,0.7482099268646264
aligned,mid_v2,5,4,CQI+cost hybrid (2-way),0.7427510701816457
aligned,mid_v2,5,4,CQI+cost+RBprofile hybrid (3-way),0.7427510701816457
aligned,mid_v2,5,5,CQI k-means,0.8066715492960624
aligned,mid_v2,5,5,Multi-feature k-means,0.7510962242552015
aligned,mid_v2,5,5,CQI+cost hybrid (2-way),0.8066715492960624
aligned,mid_v2,5,5,CQI+cost+RBprofile hybrid (3-way),0.8066715492960624
aligned,mid_v2,5,6,CQI k-means,0.7391085921220176
aligned,mid_v2,5,6,Multi-feature k-means,0.7328923543282979
aligned,mid_v2,5,6,CQI+cost hybrid (2-way),0.7702898737959899
aligned,mid_v2,5,6,CQI+cost+RBprofile hybrid (3-way),0.7702898737959899
aligned,mid_v2,5,7,CQI k-means,0.6824273047400174
aligned,mid_v2,5,7,Multi-feature k-means,0.7321795340677223
aligned,mid_v2,5,7,CQI+cost hybrid (2-way),0.6864207662646519
aligned,mid_v2,5,7,CQI+cost+RBprofile hybrid (3-way),0.7272043111349518
aligned,mid_v2,5,8,CQI k-means,0.6945175114173516
aligned,mid_v2,5,8,Multi-feature k-means,0.7359509247329818
aligned,mid_v2,5,8,CQI+cost hybrid (2-way),0.7277517692777241
aligned,mid_v2,5,8,CQI+cost+RBprofile hybrid (3-way),0.7277517692777241
aligned,mid_v2,5,9,CQI k-means,0.5858977668340494
aligned,mid_v2,5,9,Multi-feature k-means,0.623059989740457
aligned,mid_v2,5,9,CQI+cost hybrid (2-way),0.6972252809628007
aligned,mid_v2,5,9,CQI+cost+RBprofile hybrid (3-way),0.6972252809628007
aligned,mid_v2,5,10,CQI k-means,0.7068158079374847
aligned,mid_v2,5,10,Multi-feature k-means,0.7441299799332631
aligned,mid_v2,5,10,CQI+cost hybrid (2-way),0.7068158079374847
aligned,mid_v2,5,10,CQI+cost+RBprofile hybrid (3-way),0.7292043111349517
aligned,mid_v2,5,11,CQI k-means,0.7256919226013369
aligned,mid_v2,5,11,Multi-feature k-means,0.7754441519290418
aligned,mid_v2,5,11,CQI+cost hybrid (2-way),0.7529129388726256
aligned,mid_v2,5,11,CQI+cost+RBprofile hybrid (3-way),0.7529129388726256
aligned,mid_v2,5,12,CQI k-means,0.712099587136359
