dispersion,seed,scenario_index,fast_utility,multikey_utility,winning_key,No grouping,CQI k-means,Resource-cost k-means,Multi-feature k-means,LE-GRA MVP
high,21,0,0.44340465074658786,0.44340465074658786,cost,0.12577973312085844,0.33575647306038353,0.3347711616907589,0.3752917347043044,0.32571063001376094
high,21,1,0.4374167799644787,0.4374167799644787,cost,0.12377973312085847,0.37390526795129214,0.3965124351609984,0.38781173575187683,0.4078082242021187
high,21,2,0.4668793525028548,0.4668793525028548,cost,0.11111306645419183,0.4303420886411351,0.3328412031977474,0.3583452017474684,0.36453905582513685
high,21,3,0.4091629663468564,0.4091629663468564,cost,0.1351130664541918,0.3938068122799118,0.18888456696424058,0.338737700914277,0.30965445221523463
high,21,4,0.37849223637538276,0.38431719210321336,cqi,0.13844639978752515,0.2824917654044448,0.22785559240420938,0.2616671776264353,0.2694525239046471
high,21,5,0.4285587110757199,0.4285587110757199,cost,0.11844639978752514,0.39961099364383723,0.30835335390782426,0.3556438401837443,0.32596753785019766
high,21,6,0.4708787474899605,0.4723430282925229,cqi_then_cost,0.11444639978752512,0.3988416595468127,0.4234185744304656,0.38578189402076335,0.4290664689510257
high,21,7,0.4243024979792162,0.428837331100129,cqi,0.12444639978752514,0.39553184175460404,0.20208244668732347,0.3417189287681705,0.39819787397377165
high,21,8,0.3944734789465786,0.4001213734671386,cqi,0.13444639978752515,0.2829254223753425,0.31471874707101594,0.305517000457583,0.3135808391830722
high,21,9,0.4981745365310808,0.4981745365310808,cost,0.11844639978752514,0.4365359197767136,0.46428716940771986,0.46428716940771986,0.47558295844883997
high,21,10,0.4564856394263948,0.460191882037678,cqi,0.1137797331208585,0.44695444108728083,0.3188054150750073,0.3947193505736078,0.36005978438867337
high,21,11,0.4240483018178136,0.4240483018178136,cost,0.13111306645419182,0.33490311877012785,0.3425231991263601,0.32477524520649015,0.37560629589153116
high,21,12,0.43861705916644295,0.43861705916644295,cost,0.12644639978752517,0.42714420891805216,0.20410529685553938,0.3972166461198782,0.35444943416032637
high,21,13,0.41875190776379917,0.41875190776379917,cost,0.13511306645419183,0.3232695189835875,0.28707632229550817,0.3002019026367057,0.2870763222955082
high,21,14,0.4546768191793729,0.4546768191793729,cost,0.12444639978752514,0.3552923691518035,0.31405959651910764,0.45467681917937275,0.34697685460335426
high,21,15,0.4413810301382527,0.4413810301382527,cost,0.12244639978752513,0.4008068269972142,0.30256795940730785,0.36730973038317105,0.323865835918772
high,21,16,0.4188712258932408,0.4245191204138008,cqi,0.13511306645419183,0.4093400275541268,0.29478256490679144,0.3048503337909163,0.37827296255819787
high,21,17,0.39290208493265144,0.39290208493265144,cost,0.1371130664541918,0.3047966540178944,0.2604659573498588,0.35336682328873065,0.3816062958915312
high,21,18,0.43942525968326823,0.4431315022945513,cqi_then_cost,0.11644639978752515,0.3935338586897052,0.2925679594073079,0.3855687515993181,0.41945611872267885
high,21,19,0.48911822009276107,0.4891182200927613,cqi,0.11111306645419182,0.4092293677021497,0.43804769680491934,0.36880066616686996,0.3984009589228996
high,22,0,0.4554085191895652,0.4554085191895652,cost,0.11177973312085844,0.4093400569887317,0.24274911335399016,0.3739666643773013,0.43738103013825264
high,22,1,0.46338753442667513,0.46338753442667513,cost,0.11711306645419181,0.3775714029819182,0.3157658391303908,0.36168992476187417,0.3512257825991048
high,22,2,0.43475956869076193,0.43891094413229137,cqi_then_cost,0.12177973312085849,0.3693292789965175,0.2780367463508917,0.38627296255819793,0.34692482618203263
high,22,3,0.4030274833020012,0.4030274833020012,cost,0.13377973312085847,0.3225154106147909,0.2632117759057586,0.27794419452144903,0.311572859342386
high,22,4,0.4535184818959043,0.4566389559734365,cqi,0.11911306645419181,0.3831206180581424,0.3393472041401414,0.36431050685041094,0.42643734657657223
high,22,5,0.46330977201730794,0.46330977201730794,cost,0.11511306645419182,0.3882354182659848,0.4390664689510258,0.40517910182766514,0.35754034378633165
high,22,6,0.4101462111358511,0.4101462111358511,cost,0.12577973312085844,0.39302546636690006,0.275370079684225,0.2925357726036895,0.3772541904120913
high,22,7,0.38480679756260955,0.3867484494718863,cqi_then_cost,0.14444639978752516,0.375452660430766,0.14444639978752516,0.2766108611881157,0.30116457606441976
high,22,8,0.4333984653718888,0.4333984653718888,cost,0.11777973312085849,0.36751755979595513,0.32478546120084656,0.4188269963482252,0.4188269963482252
high,22,9,0.36980476591020606,0.37174641781948287,cqi,0.15111306645419184,0.28359208904200917,0.3121121747387549,0.3061836671242496,0.27663863117365556
high,22,10,0.4536419115524577,0.4536419115524577,cost,0.11511306645419182,0.37120572249180356,0.34542635602937455,0.3450147178092907,0.3364574140010124
high,22,11,0.45874185252289845,0.4643897470434585,cqi,0.10977973312085847,0.4223816498684493,0.4184373465765723,0.4052828397565851,0.35605978438867336
high,22,12,0.45836894324494853,0.45836894324494853,cost,0.11444639978752515,0.4183024979792162,0.27040965562884156,0.3878833127865449,0.4274185744304657
high,22,13,0.4160071597740419,0.4171932670430503,cqi_then_cost,0.12244639978752513,0.328893191015049,0.33971892876817045,0.3123282252496911,0.3458404208444498
high,22,14,0.43667339032206504,0.43667339032206504,cost,0.1271130664541918,0.40190071716235176,0.34038298747136964,0.3492455727439585,0.3337658391303908
high,22,15,0.452171078239168,0.45587732085045113,cqi,0.11777973312085849,0.4195171181960022,0.28248880751807465,0.38283050789798345,0.3462445547452113
high,22,16,0.47893991239050876,0.48770828098860086,cqi_then_cost,0.11511306645419182,0.37786971765209004,0.36662423575245745,0.388615895810332,0.33125534705063175
