dispersion,seed,scenario_index,method,objective,adr_kbps,log_utility
low,2,9,Multi-feature k-means,ADR,7500.0,0.9333333333333336
low,2,10,No grouping,log-utility,7500.0,0.932
low,2,10,CQI k-means,log-utility,7035.333333333333,0.9399480171844083
low,2,10,Resource-cost k-means,log-utility,7500.0,0.932
low,2,10,Multi-feature k-means,log-utility,6831.333333333333,0.943437390582441
low,2,10,No grouping,ADR,7500.0,0.932
low,2,10,CQI k-means,ADR,7500.0,0.932
low,2,10,Resource-cost k-means,ADR,7500.0,0.932
low,2,10,Multi-feature k-means,ADR,7500.0,0.932
low,2,11,No grouping,log-utility,7500.0,0.9220000000000003
low,2,11,CQI k-means,log-utility,6876.666666666667,0.9326619742717673
low,2,11,Resource-cost k-means,log-utility,7375.333333333333,0.9241323948543535
low,2,11,Multi-feature k-means,log-utility,6888.0,0.9324681201940989
low,2,11,No grouping,ADR,7500.0,0.9220000000000003
low,2,11,CQI k-means,ADR,7500.0,0.9220000000000003
low,2,11,Resource-cost k-means,ADR,7500.0,0.9220000000000003
low,2,11,Multi-feature k-means,ADR,7500.0,0.9220000000000003
low,2,12,No grouping,log-utility,7500.0,0.9386666666666668
low,2,12,CQI k-means,log-utility,6468.666666666667,0.9563073877344993
low,2,12,Resource-cost k-means,log-utility,7500.0,0.9386666666666668
low,2,12,Multi-feature k-means,log-utility,6922.0,0.9485532246277599
low,2,12,No grouping,ADR,7500.0,0.9386666666666668
low,2,12,CQI k-means,ADR,7500.0,0.9386666666666668
low,2,12,Resource-cost k-means,ADR,7500.0,0.9386666666666668
low,2,12,Multi-feature k-means,ADR,7500.0,0.9386666666666668
low,2,13,No grouping,log-utility,7500.0,0.9233333333333336
low,2,13,CQI k-means,log-utility,6956.0,0.9326383290614211
low,2,13,Resource-cost k-means,log-utility,7454.666666666667,0.9241087496440075
low,2,13,Multi-feature k-means,log-utility,6706.666666666667,0.9369031187701279
low,2,13,No grouping,ADR,7500.0,0.9233333333333336
low,2,13,CQI k-means,ADR,7500.0,0.9233333333333336
low,2,13,Resource-cost k-means,ADR,7500.0,0.9233333333333336
low,2,13,Multi-feature k-means,ADR,7500.0,0.9233333333333336
low,2,14,No grouping,log-utility,7500.0,0.9313333333333337
low,2,14,CQI k-means,log-utility,6967.333333333333,0.9404444749837529
low,2,14,Resource-cost k-means,log-utility,7443.333333333333,0.9323026037216757
low,2,14,Multi-feature k-means,log-utility,6684.0,0.9452908269254648
low,2,14,No grouping,ADR,7500.0,0.9313333333333337
low,2,14,CQI k-means,ADR,7500.0,0.9313333333333337
low,2,14,Resource-cost k-means,ADR,7500.0,0.9313333333333337
low,2,14,Multi-feature k-means,ADR,7500.0,0.9313333333333337
low,2,15,No grouping,log-utility,7500.0,0.9353333333333336
low,2,15,CQI k-means,log-utility,7046.666666666667,0.9430874964400732
low,2,15,Resource-cost k-means,log-utility,7409.333333333333,0.9368841659546814
low,2,15,Multi-feature k-means,log-utility,6729.333333333333,0.9485154106147907
low,2,15,No grouping,ADR,7500.0,0.9353333333333336
low,2,15,CQI k-means,ADR,7500.0,0.9353333333333336
low,2,15,Resource-cost k-means,ADR,7500.0,0.9353333333333336
low,2,15,Multi-feature k-means,ADR,7500.0,0.9353333333333336
low,2,16,No grouping,log-utility,7500.0,0.9320000000000003
low,2,16,CQI k-means,log-utility,6967.333333333333,0.9411111416504195
low,2,16,Resource-cost k-means,log-utility,7500.0,0.9320000000000003
low,2,16,Multi-feature k-means,log-utility,6967.333333333333,0.9411111416504195
low,2,16,No grouping,ADR,7500.0,0.9320000000000003
low,2,16,CQI k-means,ADR,7500.0,0.9320000000000003
low,2,16,Resource-cost k-means,ADR,7500.0,0.9320000000000003
low,2,16,Multi-feature k-means,ADR,7500.0,0.9320000000000003
low,2,17,No grouping,log-utility,7500.0,0.9273333333333335
