dispersion,load,seed,method,mean_utility,n_scenarios
high,medium,seed_0006,Trend-downside-deviation k-means,0.11144813023816379,15
high,medium,seed_0006,Trend-only union (CQI+slope+volatility+downside),0.16843089542943662,15
high,medium,seed_0006,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.17785867227546112,15
high,medium,seed_0006,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.17976613235882255,15
high,medium,seed_0006,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.17785867227546112,15
high,medium,seed_0006,CQI+cost+switching+regret-graph+trend union,0.17976613235882255,15
high,medium,seed_0007,CQI k-means,0.17818450677664935,15
high,medium,seed_0007,Trend-slope k-means,0.14075824893895836,15
high,medium,seed_0007,Trend-volatility k-means,0.12985697317928907,15
high,medium,seed_0007,Trend-downside-deviation k-means,0.14329045316335345,15
high,medium,seed_0007,Trend-only union (CQI+slope+volatility+downside),0.1791795793680615,15
high,medium,seed_0007,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.19437274712108338,15
high,medium,seed_0007,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.19437274712108338,15
high,medium,seed_0007,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.19437274712108338,15
high,medium,seed_0007,CQI+cost+switching+regret-graph+trend union,0.19437274712108338,15
high,medium,seed_0008,CQI k-means,0.15868370206783897,15
high,medium,seed_0008,Trend-slope k-means,0.1288619005878769,15
high,medium,seed_0008,Trend-volatility k-means,0.12587668281364034,15
high,medium,seed_0008,Trend-downside-deviation k-means,0.11692102949093078,15
high,medium,seed_0008,Trend-only union (CQI+slope+volatility+downside),0.15868370206783897,15
high,medium,seed_0008,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.17621983195956484,15
high,medium,seed_0008,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.17621983195956484,15
high,medium,seed_0008,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.17621983195956484,15
high,medium,seed_0008,CQI+cost+switching+regret-graph+trend union,0.17621983195956484,15
high,medium,seed_0009,CQI k-means,0.1787250825259428,15
