dispersion,load,seed,method,mean_utility,n_scenarios
low,medium,seed_0006,CQI+resource-cost hybrid (paper method),0.44718417808401845,15
low,medium,seed_0006,Offline teacher,0.44718417808401845,15
low,medium,seed_0007,No grouping,0.45264377365510217,15
low,medium,seed_0007,CQI k-means,0.45264377365510217,15
low,medium,seed_0007,CQI k-means (k-means++),0.45264377365510217,15
low,medium,seed_0007,Resource-cost k-means,0.45264377365510217,15
low,medium,seed_0007,Multi-feature k-means,0.45264377365510217,15
low,medium,seed_0007,CQI+resource-cost hybrid (paper method),0.45264377365510217,15
low,medium,seed_0007,Offline teacher,0.45264377365510217,15
low,medium,seed_0008,No grouping,0.44718417808401845,15
low,medium,seed_0008,CQI k-means,0.44718417808401845,15
low,medium,seed_0008,CQI k-means (k-means++),0.44718417808401845,15
low,medium,seed_0008,Resource-cost k-means,0.44718417808401845,15
low,medium,seed_0008,Multi-feature k-means,0.44718417808401845,15
low,medium,seed_0008,CQI+resource-cost hybrid (paper method),0.44718417808401845,15
low,medium,seed_0008,Offline teacher,0.44718417808401845,15
low,medium,seed_0009,No grouping,0.44718417808401845,15
low,medium,seed_0009,CQI k-means,0.44718417808401845,15
low,medium,seed_0009,CQI k-means (k-means++),0.44718417808401845,15
low,medium,seed_0009,Resource-cost k-means,0.44718417808401845,15
low,medium,seed_0009,Multi-feature k-means,0.44718417808401845,15
low,medium,seed_0009,CQI+resource-cost hybrid (paper method),0.44718417808401845,15
low,medium,seed_0009,Offline teacher,0.44718417808401845,15
low,medium,seed_0010,No grouping,0.4526437736551021,15
low,medium,seed_0010,CQI k-means,0.4526437736551021,15
low,medium,seed_0010,CQI k-means (k-means++),0.4526437736551021,15
low,medium,seed_0010,Resource-cost k-means,0.4526437736551021,15
low,medium,seed_0010,Multi-feature k-means,0.4526437736551021,15
low,medium,seed_0010,CQI+resource-cost hybrid (paper method),0.4526437736551021,15
low,medium,seed_0010,Offline teacher,0.4526437736551021,15
mid,heavy,seed_0001,No grouping,0.13134958206640732,15
mid,heavy,seed_0001,CQI k-means,0.1661771227658335,15
mid,heavy,seed_0001,CQI k-means (k-means++),0.1651820501744213,15
mid,heavy,seed_0001,Resource-cost k-means,0.1431251405577763,15
mid,heavy,seed_0001,Multi-feature k-means,0.14569547833909532,15
mid,heavy,seed_0001,CQI+resource-cost hybrid (paper method),0.16518205017442134,15
mid,heavy,seed_0001,Offline teacher,0.1716500220186005,15
mid,heavy,seed_0002,No grouping,0.14329045316335345,15
mid,heavy,seed_0002,CQI k-means,0.1676697316529518,15
mid,heavy,seed_0002,CQI k-means (k-means++),0.168664804244364,15
mid,heavy,seed_0002,Resource-cost k-means,0.15373871537318132,15
mid,heavy,seed_0002,Multi-feature k-means,0.16319190499159703,15
mid,heavy,seed_0002,CQI+resource-cost hybrid (paper method),0.16965987683577619,15
mid,heavy,seed_0002,Offline teacher,0.1736401672014249,15
mid,heavy,seed_0003,No grouping,0.1552313242602996,15
