scenario,grouping,greedy_utility,dp_utility,utility_gap,greedy_adr,dp_adr,adr_gap,greedy_rb_util,dp_rb_util,greedy_switching,dp_switching
35,Teacher,0.8777187411001827,0.8919622317959931,0.014243490695810435,6366.666666666667,6508.333333333333,141.66666666666606,0.9743589743589743,0.9230769230769231,0.15000000000000002,0.13333333333333333
36,No grouping,0.9333333333333335,0.9333333333333335,0.0,7500.0,7500.0,0.0,0.2727272727272727,0.25,0.13333333333333333,0.13333333333333333
36,CQI k-means,0.9333333333333335,0.9357565093041895,0.002423175970856062,7500.0,7358.333333333333,-141.66666666666697,0.8409090909090909,0.7045454545454546,0.13333333333333333,0.11666666666666665
36,Resource-cost,0.9333333333333335,0.9333333333333335,0.0,7500.0,7500.0,0.0,0.2727272727272727,0.25,0.13333333333333333,0.13333333333333333
36,Teacher,0.9357565093041895,0.9430260372167579,0.007269527912568408,7358.333333333333,6933.333333333333,-425.0,1.0,0.8636363636363636,0.11666666666666665,0.06666666666666667
37,No grouping,0.16244639978752515,0.16244639978752515,0.0,550.0,550.0,0.0,0.3404255319148936,0.3404255319148936,0.23333333333333336,0.23333333333333336
37,CQI k-means,0.5855063259748874,0.5855063259748873,-1.1102230246251565e-16,4262.5,4262.5,0.0,1.0,0.9787234042553191,0.30000000000000004,0.30000000000000004
37,Resource-cost,0.5550903971777105,0.5631670666724018,0.008076669494691324,3762.5,4058.3333333333335,295.8333333333335,0.9361702127659575,1.0,0.23333333333333336,0.2666666666666667
37,Teacher,0.5855063259748874,0.5855063259748874,0.0,4262.5,4262.5,0.0,1.0,0.9787234042553191,0.30000000000000004,0.30000000000000004
38,No grouping,0.9249999999999999,0.9249999999999999,0.0,7500.0,7500.0,0.0,0.24444444444444444,0.2222222222222222,0.15,0.15
38,CQI k-means,0.9249999999999999,0.9274231759708562,0.002423175970856284,7500.0,7358.333333333333,-141.66666666666697,0.8888888888888888,0.7555555555555555,0.15,0.13333333333333333
38,Resource-cost,0.9249999999999999,0.9322695279125685,0.007269527912568519,7500.0,7075.0,-425.0,0.4888888888888889,0.37777777777777777,0.15,0.09999999999999999
38,Teacher,0.9249999999999999,0.9419622317959931,0.01696223179599321,7500.0,6508.333333333333,-991.666666666667,0.8666666666666667,0.6666666666666666,0.15,0.03333333333333333
39,No grouping,0.875,0.875,0.0,7500.0,7500.0,0.0,0.23404255319148937,0.2127659574468085,0.25000000000000006,0.25000000000000006
39,CQI k-means,0.875,0.875,0.0,7500.0,7500.0,0.0,0.23404255319148937,0.2127659574468085,0.25000000000000006,0.25000000000000006
39,Resource-cost,0.875,0.875,0.0,7500.0,7500.0,0.0,0.23404255319148937,0.2127659574468085,0.25000000000000006,0.25000000000000006
39,Teacher,0.875,0.8968085837377054,0.021808583737705445,7500.0,6225.0,-1275.0,0.7872340425531915,0.6170212765957447,0.25000000000000006,0.09999999999999999
40,No grouping,0.6221841780840184,0.6221841780840184,0.0,3000.0,3000.0,0.0,1.0,1.0,0.25,0.25
40,CQI k-means,0.6736525316025967,0.6736525316025967,0.0,4025.0,4025.0,0.0,0.9795918367346939,0.9795918367346939,0.2333333333333333,0.2333333333333333
40,Resource-cost,0.6796975383310119,0.6796975383310118,-1.1102230246251565e-16,4366.666666666667,4366.666666666667,0.0,0.8571428571428571,0.8571428571428571,0.25000000000000006,0.25000000000000006
40,Teacher,0.6796975383310119,0.6796975383310118,-1.1102230246251565e-16,4366.666666666667,4366.666666666667,0.0,0.8571428571428571,0.8571428571428571,0.25000000000000006,0.25000000000000006
41,No grouping,0.9083333333333335,0.9083333333333335,0.0,7500.0,7500.0,0.0,0.4117647058823529,0.38235294117647056,0.18333333333333332,0.18333333333333332
41,CQI k-means,0.9083333333333335,0.9086288984626597,0.0002955651293261585,7500.0,6508.333333333333,-991.666666666667,0.7058823529411765,0.5882352941176471,0.18333333333333332,0.09999999999999999
41,Resource-cost,0.918026037216758,0.918026037216758,0.0,6933.333333333333,6933.333333333333,0.0,0.9705882352941176,0.8823529411764706,0.11666666666666665,0.11666666666666665
