scenario_id,timestamp_s,ue_id_a,ue_id_b,cqi_a,cqi_b,cqi_gap,mean_profile_gap_kbps,max_profile_gap_kbps,ambiguous_pair
simu5g_00000230,12.8,0,2,15,14,1.000000,67.840000,352.000000,0
simu5g_00000230,12.8,1,2,15,14,1.000000,70.400000,352.000000,0
simu5g_00000231,12.9,15,31,15,15,0.000000,26.880000,272.000000,1
simu5g_00000232,12.9,0,1,15,15,0.000000,16.640000,176.000000,1
simu5g_00000232,12.9,0,2,15,14,1.000000,67.840000,352.000000,0
simu5g_00000232,12.9,1,2,15,14,1.000000,70.400000,352.000000,0
simu5g_00000233,13.0,15,31,14,15,1.000000,66.880000,552.000000,0
simu5g_00000234,13.0,0,1,15,15,0.000000,16.640000,176.000000,1
simu5g_00000234,13.0,0,2,15,14,1.000000,67.840000,352.000000,0
simu5g_00000234,13.0,1,2,15,14,1.000000,70.400000,352.000000,0
simu5g_00000235,13.1,15,31,14,15,1.000000,66.880000,552.000000,0
simu5g_00000236,13.1,0,1,15,15,0.000000,16.640000,176.000000,1
simu5g_00000236,13.1,0,2,15,14,1.000000,67.840000,352.000000,0
simu5g_00000236,13.1,1,2,15,14,1.000000,70.400000,352.000000,0
simu5g_00000237,13.2,15,31,14,15,1.000000,80.960000,552.000000,0
simu5g_00000238,13.2,0,1,15,15,0.000000,19.200000,176.000000,1
simu5g_00000238,13.2,0,2,15,14,1.000000,67.840000,352.000000,0
simu5g_00000238,13.2,1,2,15,14,1.000000,70.400000,352.000000,0
simu5g_00000239,13.3,15,31,14,15,1.000000,80.960000,552.000000,0
simu5g_00000240,13.3,0,1,14,15,1.000000,57.280000,552.000000,0
simu5g_00000240,13.3,0,2,14,12,2.000000,287.680000,696.000000,0
simu5g_00000240,13.3,1,2,15,12,3.000000,289.280000,728.000000,0
simu5g_00000241,13.4,15,31,14,15,1.000000,80.960000,552.000000,0
simu5g_00000242,13.4,0,1,14,15,1.000000,57.280000,552.000000,0
simu5g_00000242,13.4,0,2,14,12,2.000000,287.680000,696.000000,0
simu5g_00000242,13.4,1,2,15,12,3.000000,289.280000,728.000000,0
simu5g_00000243,13.5,15,31,14,15,1.000000,77.120000,552.000000,0
simu5g_00000244,13.5,0,1,14,15,1.000000,57.280000,552.000000,0
simu5g_00000244,13.5,0,2,14,12,2.000000,287.680000,696.000000,0
simu5g_00000244,13.5,1,2,15,12,3.000000,289.280000,728.000000,0
simu5g_00000245,13.6,15,31,14,15,1.000000,61.760000,552.000000,0
simu5g_00000246,13.6,0,1,14,15,1.000000,57.280000,552.000000,0
simu5g_00000246,13.6,0,2,14,12,2.000000,283.840000,696.000000,0
simu5g_00000246,13.6,1,2,15,12,3.000000,285.440000,728.000000,0
simu5g_00000247,13.7,15,31,14,15,1.000000,85.440000,632.000000,0
simu5g_00000248,13.7,0,1,14,15,1.000000,57.280000,552.000000,0
simu5g_00000248,13.7,0,2,14,12,2.000000,280.640000,696.000000,0
simu5g_00000248,13.7,1,2,15,12,3.000000,282.240000,728.000000,0
simu5g_00000249,13.8,15,31,14,15,1.000000,84.160000,632.000000,0
simu5g_00000250,13.8,0,1,14,15,1.000000,57.280000,552.000000,0
simu5g_00000250,13.8,0,2,14,12,2.000000,280.640000,696.000000,0
simu5g_00000250,13.8,1,2,15,12,3.000000,282.240000,728.000000,0
simu5g_00000251,13.9,15,31,14,15,1.000000,84.160000,632.000000,0
simu5g_00000252,13.9,0,1,12,15,3.000000,240.320000,792.000000,0
simu5g_00000252,13.9,0,2,12,12,0.000000,230.080000,600.000000,1
simu5g_00000252,13.9,1,2,15,12,3.000000,282.240000,728.000000,0
simu5g_00000253,14.0,15,31,14,13,1.000000,175.680000,456.000000,0
simu5g_00000254,14.0,0,1,12,15,3.000000,240.320000,792.000000,0
simu5g_00000254,14.0,0,2,12,12,0.000000,230.080000,600.000000,1
simu5g_00000254,14.0,0,3,12,9,3.000000,352.960000,824.000000,0
simu5g_00000254,14.0,1,2,15,12,3.000000,282.240000,728.000000,0
simu5g_00000254,14.0,1,3,15,9,6.000000,546.560000,856.000000,0
