dispersion,seed,scenario_index,method,utility,adr_kbps,served_ratio,average_quality,system_spectral_efficiency
high,10,7,CQI k-means,0.31335335390782426,1153.3333333333333,1.0,1.4666666666666666,76.88888888888889
high,10,7,Resource-cost k-means,0.3133533539078243,1153.3333333333333,1.0,1.4666666666666666,76.88888888888889
high,10,7,Multi-feature k-means,0.34770015662206394,1824.0,1.0,1.74,121.6
high,10,7,Offline teacher,0.41142857287506446,1701.6666666666667,1.0,1.8133333333333332,113.44444444444444
high,10,8,No grouping,0.13011306645419182,550.0,1.0,1.0,36.666666666666664
high,10,8,CQI k-means,0.3103570007078627,2172.8333333333335,1.0,1.6366666666666667,144.85555555555555
high,10,8,Resource-cost k-means,0.23212119893241748,993.0,1.0,1.22,66.2
high,10,8,Multi-feature k-means,0.3402470869873303,1777.3333333333333,1.0,1.69,118.4888888888889
high,10,8,Offline teacher,0.3633463514312724,1608.3333333333333,1.0,1.6566666666666667,107.22222222222223
high,10,9,No grouping,0.11677973312085847,550.0,1.0,1.0,36.666666666666664
high,10,9,CQI k-means,0.3435881287583189,1540.6666666666667,1.0,1.6266666666666667,102.71111111111111
high,10,9,Resource-cost k-means,0.3311664856651919,1120.8333333333333,1.0,1.5166666666666666,74.72222222222223
high,10,9,Multi-feature k-means,0.3830781376723714,1945.3333333333333,1.0,1.87,129.6888888888889
high,10,9,Offline teacher,0.42484307503273205,1760.3333333333333,1.0,1.86,117.35555555555555
high,11,0,No grouping,0.1207797331208585,550.0,1.0,1.0,36.666666666666664
high,11,0,CQI k-means,0.3192121793604149,1465.3333333333333,1.0,1.55,97.68888888888888
high,11,0,Resource-cost k-means,0.2963815047683329,1123.0,1.0,1.42,74.86666666666666
high,11,0,Multi-feature k-means,0.3520147178092907,1842.6666666666667,1.0,1.76,122.84444444444445
high,11,0,Offline teacher,0.41607545892807385,1699.6666666666667,1.0,1.8233333333333333,113.31111111111112
