dispersion,seed,scenario_index,method,utility,adr_kbps,served_ratio,average_quality,system_spectral_efficiency
low,3,7,CQI k-means,0.9410874964400732,7046.666666666667,1.0,4.733333333333333,234.88888888888889
low,3,7,Resource-cost k-means,0.9352718741100183,7386.666666666667,1.0,4.933333333333334,246.22222222222223
low,3,7,Multi-feature k-means,0.943801453527432,6888.0,1.0,4.64,229.6
low,3,7,Offline teacher,0.9358534363430238,7352.666666666667,1.0,4.913333333333333,245.0888888888889
low,3,8,No grouping,0.9333333333333336,7500.0,1.0,5.0,250.0
low,3,8,CQI k-means,0.9410874964400732,7046.666666666667,1.0,4.733333333333333,234.88888888888889
low,3,8,Resource-cost k-means,0.9343026037216757,7443.333333333333,1.0,4.966666666666667,248.11111111111111
low,3,8,Multi-feature k-means,0.9457399943041167,6774.666666666667,1.0,4.573333333333333,225.82222222222222
low,3,8,Offline teacher,0.9348841659546815,7409.333333333333,1.0,4.946666666666666,246.9777777777778
low,3,9,No grouping,0.9353333333333336,7500.0,1.0,5.0,250.0
low,3,9,CQI k-means,0.9438629127507471,7001.333333333333,1.0,4.706666666666667,233.37777777777777
low,3,9,Resource-cost k-means,0.9374657281876868,7375.333333333333,1.0,4.926666666666667,245.84444444444443
low,3,9,Multi-feature k-means,0.9463830157604375,6854.0,1.0,4.62,228.46666666666667
low,3,9,Offline teacher,0.9378534363430239,7352.666666666667,1.0,4.913333333333333,245.0888888888889
low,3,10,No grouping,0.9286666666666668,7500.0,1.0,5.0,250.0
low,3,10,CQI k-means,0.9387470787054284,6910.666666666667,1.0,4.653333333333333,230.35555555555555
low,3,10,Resource-cost k-means,0.9311867696763572,7352.666666666667,1.0,4.913333333333333,245.0888888888889
low,3,10,Multi-feature k-means,0.9399102031714393,6842.666666666667,1.0,4.613333333333333,228.0888888888889
low,3,10,Offline teacher,0.9311867696763572,7352.666666666667,1.0,4.913333333333333,245.0888888888889
low,3,11,No grouping,0.9373333333333335,7500.0,1.0,5.0,250.0
low,3,11,CQI k-means,0.9454752045954101,7024.0,1.0,4.72,234.13333333333333
low,3,11,Resource-cost k-means,0.9379148955663389,7466.0,1.0,4.98,248.86666666666667
low,3,11,Multi-feature k-means,0.9493522861487801,6797.333333333333,1.0,4.586666666666667,226.57777777777778
