timestamp_s,ue_node_id,gnb_node_id,band_index,cqi,tbs_bits_per_slot,total_bands
1.028,2052,1,1,15,1160,6
1.028,2052,1,2,15,1160,6
1.028,2052,1,3,13,984,6
1.028,2052,1,4,9,608,6
1.028,2052,1,5,13,984,6
1.028,2053,1,0,15,1160,6
1.028,2053,1,1,15,1160,6
1.028,2053,1,2,15,1160,6
1.028,2053,1,3,15,1160,6
1.028,2053,1,4,15,1160,6
1.028,2053,1,5,15,1160,6
1.034,2049,1,0,15,1160,6
1.034,2049,1,1,13,984,6
1.034,2049,1,2,15,1160,6
1.034,2049,1,3,14,1128,6
1.034,2049,1,4,15,1160,6
1.034,2049,1,5,15,1160,6
1.034,2050,1,0,15,1160,6
1.034,2050,1,1,15,1160,6
1.034,2050,1,2,15,1160,6
1.034,2050,1,3,15,1160,6
1.034,2050,1,4,15,1160,6
1.034,2050,1,5,15,1160,6
1.034,2051,1,0,15,1160,6
1.034,2051,1,1,13,984,6
1.034,2051,1,2,15,1160,6
1.034,2051,1,3,15,1160,6
1.034,2051,1,4,14,1128,6
1.034,2051,1,5,15,1160,6
1.034,2052,1,0,15,1160,6
1.034,2052,1,1,15,1160,6
1.034,2052,1,2,15,1160,6
1.034,2052,1,3,13,984,6
1.034,2052,1,4,9,608,6
1.034,2052,1,5,13,984,6
1.034,2053,1,0,15,1160,6
1.034,2053,1,1,15,1160,6
1.034,2053,1,2,15,1160,6
1.034,2053,1,3,15,1160,6
1.034,2053,1,4,15,1160,6
1.034,2053,1,5,15,1160,6
1.04,2049,1,0,15,1160,6
1.04,2049,1,1,13,984,6
1.04,2049,1,2,15,1160,6
1.04,2049,1,3,14,1128,6
1.04,2049,1,4,15,1160,6
1.04,2049,1,5,15,1160,6
1.04,2050,1,0,15,1160,6
1.04,2050,1,1,15,1160,6
1.04,2050,1,2,15,1160,6
1.04,2050,1,3,15,1160,6
1.04,2050,1,4,15,1160,6
1.04,2050,1,5,15,1160,6
1.04,2051,1,0,15,1160,6
1.04,2051,1,1,13,984,6
1.04,2051,1,2,15,1160,6
1.04,2051,1,3,15,1160,6
1.04,2051,1,4,14,1128,6
1.04,2051,1,5,15,1160,6
1.04,2052,1,0,15,1160,6
1.04,2052,1,1,15,1160,6
1.04,2052,1,2,15,1160,6
1.04,2052,1,3,13,984,6
1.04,2052,1,4,9,608,6
1.04,2052,1,5,13,984,6
1.04,2053,1,0,15,1160,6
1.04,2053,1,1,15,1160,6
1.04,2053,1,2,15,1160,6
1.04,2053,1,3,15,1160,6
1.04,2053,1,4,15,1160,6
1.04,2053,1,5,15,1160,6
1.046,2049,1,0,15,1160,6
1.046,2049,1,1,13,984,6
1.046,2049,1,2,15,1160,6
1.046,2049,1,3,14,1128,6
1.046,2049,1,4,15,1160,6
1.046,2049,1,5,15,1160,6
1.046,2050,1,0,15,1160,6
1.046,2050,1,1,15,1160,6
1.046,2050,1,2,15,1160,6
1.046,2050,1,3,15,1160,6
1.046,2050,1,4,15,1160,6
1.046,2050,1,5,15,1160,6
1.046,2051,1,0,15,1160,6
1.046,2051,1,1,13,984,6
1.046,2051,1,2,15,1160,6
1.046,2051,1,3,15,1160,6
1.046,2051,1,4,14,1128,6
1.046,2051,1,5,15,1160,6
1.046,2052,1,0,15,1160,6
1.046,2052,1,1,15,1160,6
1.046,2052,1,2,15,1160,6
1.046,2052,1,3,13,984,6
1.046,2052,1,4,9,608,6
1.046,2052,1,5,13,984,6
1.046,2053,1,0,15,1160,6
1.046,2053,1,1,15,1160,6
1.046,2053,1,2,15,1160,6
1.046,2053,1,3,15,1160,6
1.046,2053,1,4,15,1160,6
1.046,2053,1,5,15,1160,6
1.052,2049,1,0,15,1160,6
1.052,2049,1,1,13,984,6
1.052,2049,1,2,15,1160,6
1.052,2049,1,3,14,1128,6
1.052,2049,1,4,15,1160,6
1.052,2049,1,5,15,1160,6
1.052,2050,1,0,15,1160,6
1.052,2050,1,1,15,1160,6
1.052,2050,1,2,15,1160,6
1.052,2050,1,3,15,1160,6
1.052,2050,1,4,15,1160,6
1.052,2050,1,5,15,1160,6
1.052,2051,1,0,15,1160,6
1.052,2051,1,1,13,984,6
1.052,2051,1,2,15,1160,6
1.052,2051,1,3,15,1160,6
1.052,2051,1,4,14,1128,6
1.052,2051,1,5,15,1160,6
1.052,2052,1,0,15,1160,6
1.052,2052,1,1,15,1160,6
1.052,2052,1,2,15,1160,6
1.052,2052,1,3,13,984,6
1.052,2052,1,4,9,608,6
1.052,2052,1,5,13,984,6
1.052,2053,1,0,15,1160,6
1.052,2053,1,1,15,1160,6
1.052,2053,1,2,15,1160,6
1.052,2053,1,3,15,1160,6
1.052,2053,1,4,15,1160,6
1.052,2053,1,5,15,1160,6
1.058,2049,1,0,15,1160,6
1.058,2049,1,1,13,984,6
1.058,2049,1,2,15,1160,6
1.058,2049,1,3,14,1128,6
1.058,2049,1,4,15,1160,6
1.058,2049,1,5,15,1160,6
1.058,2050,1,0,15,1160,6
1.058,2050,1,1,15,1160,6
1.058,2050,1,2,15,1160,6
1.058,2050,1,3,15,1160,6
1.058,2050,1,4,15,1160,6
1.058,2050,1,5,15,1160,6
1.058,2051,1,0,15,1160,6
1.058,2051,1,1,13,984,6
1.058,2051,1,2,15,1160,6
1.058,2051,1,3,15,1160,6
1.058,2051,1,4,14,1128,6
1.058,2051,1,5,15,1160,6
1.058,2052,1,0,15,1160,6
1.058,2052,1,1,15,1160,6
1.058,2052,1,2,15,1160,6
1.058,2052,1,3,13,984,6
1.058,2052,1,4,9,608,6
1.058,2052,1,5,13,984,6
1.058,2053,1,0,15,1160,6
1.058,2053,1,1,15,1160,6
1.058,2053,1,2,15,1160,6
1.058,2053,1,3,15,1160,6
1.058,2053,1,4,15,1160,6
1.058,2053,1,5,15,1160,6
1.064,2049,1,0,15,1160,6
1.064,2049,1,1,13,984,6
1.064,2049,1,2,15,1160,6
1.064,2049,1,3,14,1128,6
1.064,2049,1,4,15,1160,6
1.064,2049,1,5,15,1160,6
1.064,2050,1,0,15,1160,6
1.064,2050,1,1,15,1160,6
1.064,2050,1,2,15,1160,6
1.064,2050,1,3,15,1160,6
1.064,2050,1,4,15,1160,6
1.064,2050,1,5,15,1160,6
1.064,2051,1,0,15,1160,6
1.064,2051,1,1,13,984,6
1.064,2051,1,2,15,1160,6
1.064,2051,1,3,15,1160,6
1.064,2051,1,4,14,1128,6
1.064,2051,1,5,15,1160,6
1.064,2052,1,0,15,1160,6
1.064,2052,1,1,15,1160,6
1.064,2052,1,2,15,1160,6
1.064,2052,1,3,13,984,6
1.064,2052,1,4,9,608,6
1.064,2052,1,5,13,984,6
1.064,2053,1,0,15,1160,6
1.064,2053,1,1,15,1160,6
1.064,2053,1,2,15,1160,6
1.064,2053,1,3,15,1160,6
1.064,2053,1,4,15,1160,6
1.064,2053,1,5,15,1160,6
1.07,2049,1,0,15,1160,6
