timestamp_s,ue_node_id,gnb_node_id,band_index,cqi,tbs_bits_per_slot,total_bands
0.824,2049,1,5,15,1160,6
0.83,2049,1,0,15,1160,6
0.83,2049,1,1,15,1160,6
0.83,2049,1,2,15,1160,6
0.83,2049,1,3,15,1160,6
0.83,2049,1,4,15,1160,6
0.83,2049,1,5,15,1160,6
0.836,2049,1,0,15,1160,6
0.836,2049,1,1,15,1160,6
0.836,2049,1,2,15,1160,6
0.836,2049,1,3,15,1160,6
0.836,2049,1,4,15,1160,6
0.836,2049,1,5,15,1160,6
0.842,2049,1,0,15,1160,6
0.842,2049,1,1,15,1160,6
0.842,2049,1,2,15,1160,6
0.842,2049,1,3,15,1160,6
0.842,2049,1,4,15,1160,6
0.842,2049,1,5,15,1160,6
0.848,2049,1,0,15,1160,6
0.848,2049,1,1,15,1160,6
0.848,2049,1,2,15,1160,6
0.848,2049,1,3,15,1160,6
0.848,2049,1,4,15,1160,6
0.848,2049,1,5,15,1160,6
0.854,2049,1,0,15,1160,6
0.854,2049,1,1,15,1160,6
0.854,2049,1,2,15,1160,6
0.854,2049,1,3,15,1160,6
0.854,2049,1,4,15,1160,6
0.854,2049,1,5,15,1160,6
0.86,2049,1,0,15,1160,6
0.86,2049,1,1,15,1160,6
0.86,2049,1,2,15,1160,6
0.86,2049,1,3,15,1160,6
0.86,2049,1,4,15,1160,6
0.86,2049,1,5,15,1160,6
0.866,2049,1,0,15,1160,6
0.866,2049,1,1,15,1160,6
0.866,2049,1,2,15,1160,6
0.866,2049,1,3,15,1160,6
0.866,2049,1,4,15,1160,6
0.866,2049,1,5,15,1160,6
0.872,2049,1,0,15,1160,6
0.872,2049,1,1,15,1160,6
0.872,2049,1,2,15,1160,6
0.872,2049,1,3,15,1160,6
0.872,2049,1,4,15,1160,6
0.872,2049,1,5,15,1160,6
0.878,2049,1,0,15,1160,6
0.878,2049,1,1,15,1160,6
0.878,2049,1,2,15,1160,6
0.878,2049,1,3,15,1160,6
0.878,2049,1,4,15,1160,6
0.878,2049,1,5,15,1160,6
0.884,2049,1,0,15,1160,6
0.884,2049,1,1,15,1160,6
0.884,2049,1,2,15,1160,6
0.884,2049,1,3,15,1160,6
0.884,2049,1,4,15,1160,6
0.884,2049,1,5,15,1160,6
0.89,2049,1,0,15,1160,6
0.89,2049,1,1,15,1160,6
0.89,2049,1,2,15,1160,6
0.89,2049,1,3,15,1160,6
0.89,2049,1,4,15,1160,6
0.89,2049,1,5,15,1160,6
0.896,2049,1,0,15,1160,6
0.896,2049,1,1,15,1160,6
0.896,2049,1,2,15,1160,6
0.896,2049,1,3,15,1160,6
0.896,2049,1,4,15,1160,6
0.896,2049,1,5,15,1160,6
0.902,2049,1,0,15,1160,6
0.902,2049,1,1,15,1160,6
0.902,2049,1,2,15,1160,6
0.902,2049,1,3,15,1160,6
0.902,2049,1,4,15,1160,6
0.902,2049,1,5,15,1160,6
0.908,2049,1,0,15,1160,6
0.908,2049,1,1,15,1160,6
0.908,2049,1,2,15,1160,6
0.908,2049,1,3,15,1160,6
0.908,2049,1,4,15,1160,6
0.908,2049,1,5,15,1160,6
0.914,2049,1,0,15,1160,6
0.914,2049,1,1,15,1160,6
0.914,2049,1,2,15,1160,6
0.914,2049,1,3,15,1160,6
0.914,2049,1,4,15,1160,6
0.914,2049,1,5,15,1160,6
0.92,2049,1,0,15,1160,6
0.92,2049,1,1,15,1160,6
0.92,2049,1,2,15,1160,6
0.92,2049,1,3,15,1160,6
0.92,2049,1,4,15,1160,6
0.92,2049,1,5,15,1160,6
0.926,2049,1,0,15,1160,6
0.926,2049,1,1,15,1160,6
0.926,2049,1,2,15,1160,6
0.926,2049,1,3,15,1160,6
0.926,2049,1,4,15,1160,6
0.926,2049,1,5,15,1160,6
0.932,2049,1,0,15,1160,6
