scenario_mode,load_level,seed,method,test_index,utility
aligned,light,17,No grouping,29,0.4476030583591543
aligned,light,17,CQI k-means,0,0.7192879457698664
aligned,light,17,CQI k-means,1,0.8957447783169407
aligned,light,17,CQI k-means,2,0.8980201717231336
aligned,light,17,CQI k-means,3,0.9586288984626599
aligned,light,17,CQI k-means,4,0.6853682182419071
aligned,light,17,CQI k-means,5,0.8968085837377053
aligned,light,17,CQI k-means,6,0.6303169650117497
aligned,light,17,CQI k-means,7,0.5520107992687363
aligned,light,17,CQI k-means,8,0.9586288984626598
aligned,light,17,CQI k-means,9,0.6249230965849132
aligned,light,17,CQI k-means,10,0.5603441326020696
aligned,light,17,CQI k-means,11,0.9527187411001826
aligned,light,17,CQI k-means,12,0.8949173104772318
aligned,light,17,CQI k-means,13,0.6936635500758147
aligned,light,17,CQI k-means,14,0.879078111650274
aligned,light,17,CQI k-means,15,0.7194357283345297
aligned,light,17,CQI k-means,16,0.9004433476939897
aligned,light,17,CQI k-means,17,0.6974832999994374
aligned,light,17,CQI k-means,18,0.9556738197814211
aligned,light,17,CQI k-means,19,0.9586288984626598
aligned,light,17,CQI k-means,20,0.9556738197814211
aligned,light,17,CQI k-means,21,0.9497636624189439
aligned,light,17,CQI k-means,22,0.9556738197814211
aligned,light,17,CQI k-means,23,0.6815152149286158
aligned,light,17,CQI k-means,24,0.8957447783169407
aligned,light,17,CQI k-means,25,0.9556738197814211
aligned,light,17,CQI k-means,26,0.9004433476939896
aligned,light,17,CQI k-means,27,0.8938535050564669
aligned,light,17,CQI k-means,28,0.8957447783169407
aligned,light,17,CQI k-means,29,0.6925072516713807
aligned,light,17,Resource-cost k-means,0,0.7686629014337704
aligned,light,17,Resource-cost k-means,1,0.8957447783169407
aligned,light,17,Resource-cost k-means,2,0.8883274678397091
aligned,light,17,Resource-cost k-means,3,0.9416666666666665
aligned,light,17,Resource-cost k-means,4,0.7091834920730543
aligned,light,17,Resource-cost k-means,5,0.8957447783169407
aligned,light,17,Resource-cost k-means,6,0.6804144270087326
aligned,light,17,Resource-cost k-means,7,0.6109519076815015
aligned,light,17,Resource-cost k-means,8,0.9428782546520945
aligned,light,17,Resource-cost k-means,9,0.639965174128147
aligned,light,17,Resource-cost k-means,10,0.5971823253600479
aligned,light,17,Resource-cost k-means,11,0.9357565093041892
aligned,light,17,Resource-cost k-means,12,0.8888593705500912
aligned,light,17,Resource-cost k-means,13,0.7117583764425649
aligned,light,17,Resource-cost k-means,14,0.879078111650274
